id_movie,score_num,year_released
403342,4.4,1998
403343,6.3,1998
403344,6.3,1998
403345,6.0,1998
403346,6.7,1998
403347,6.1,1998
403348,4.9,1998
403349,7.4,1998
403350,7.6,1998
403351,5.7,1998
403352,6.0,1998
403353,6.2,1998
403354,6.3,1998
403355,6.2,1998
403356,7.4,1998
403357,7.4,1998
403358,5.8,1998
403359,7.9,1998
403360,6.7,1998
403361,6.3,1998
403362,7.5,1998
403363,5.9,1998
403364,6.7,1998
403365,7.3,1998
403366,6.1,1998
403367,5.1,1998
403368,6.9,1998
403369,6.8,1998
403370,7.2,1998
403371,8.1,1998
403372,5.9,1998
403373,5.4,1998
403374,5.5,1998
403375,5.7,1998
403376,5.8,1998
403377,4.7,1998
403378,6.6,1998
403379,6.6,1998
403380,7.0,1998
403381,5.9,1998
403382,5.9,1998
403383,6.0,1998
403384,6.1,1998
403385,5.4,1998
403386,7.2,1998
403387,6.1,1998
403388,8.0,1998
403389,6.4,1998
403390,7.2,1998
403391,5.9,1998
403392,6.9,1998
403393,5.6,1998
403394,6.1,1998
403395,6.1,1998
403396,6.1,1998
403397,5.4,1998
403398,7.2,1998
403399,6.0,1998
403400,3.0,1998
403401,7.7,1998
403402,7.0,1998
403403,4.8,1998
403404,6.6,1998
403405,6.1,1998
403406,5.1,1998
403407,7.7,1998
403408,6.5,1998
403409,7.6,1998
403410,3.2,1998
403411,6.2,1998
403412,4.1,1998
403413,5.7,1998
403414,7.3,1998
403415,7.0,1998
403416,6.5,1998
403417,6.6,1998
403418,6.9,1998
403419,6.6,1998
403420,4.9,1998
403421,5.5,1998
403422,6.8,1998
403423,5.0,1998
403424,3.2,1998
403425,7.3,1998
403426,6.3,1998
403427,6.5,1998
403428,5.6,1998
403429,6.2,1998
403430,5.8,1998
403431,7.0,1998
403432,6.3,1998
403433,6.3,1998
403434,6.3,1998
403435,4.9,1998
403436,6.3,1998
403437,6.9,1998
403438,5.0,1998
403439,4.7,1998
